Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region
3/8/2015,1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,0,conventional,2015,Albany
3/8/2015,1.79,1626.32,49.73,331.14,0,1245.45,1245.45,0,0,organic,2015,Albany
3/15/2015,1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,conventional,2015,Albany
3/15/2015,1.79,1473.56,19.18,164.73,0,1289.65,1289.65,0,0,organic,2015,Albany
3/22/2015,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,conventional,2015,Albany
3/22/2015,1.86,1375.02,40.57,326.78,0,1007.67,1007.67,0,0,organic,2015,Albany
3/29/2015,1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,conventional,2015,Albany
3/29/2015,1.93,1082.44,24.75,173.26,0,884.43,884.43,0,0,organic,2015,Albany
4/5/2015,1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany
4/5/2015,1.93,1526.1,15.75,202.52,0,1307.83,1307.83,0,0,organic,2015,Albany
4/12/2015,1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,conventional,2015,Albany
4/12/2015,1.76,1634.59,51.75,93.38,0,1489.46,1489.46,0,0,organic,2015,Albany
4/19/2015,1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,conventional,2015,Albany
4/19/2015,1.96,1516.24,18.01,102.45,0,1395.78,1395.78,0,0,organic,2015,Albany
4/26/2015,1.22,49585.46,875.65,35841.75,89.62,12778.44,12076.83,701.61,0,conventional,2015,Albany
4/26/2015,1.9,929.61,27.01,30.53,0,872.07,872.07,0,0,organic,2015,Albany
5/3/2015,1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,conventional,2015,Albany
5/3/2015,2.03,1798.99,57.93,130.62,0,1610.44,1610.44,0,0,organic,2015,Albany
5/10/2015,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,conventional,2015,Albany
5/10/2015,1.98,2117.48,46.8,523.9,0,1546.78,1546.78,0,0,organic,2015,Albany
5/17/2015,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,conventional,2015,Albany
5/17/2015,1.87,1881.08,19.51,213.43,0,1648.14,1648.14,0,0,organic,2015,Albany
5/24/2015,1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0,conventional,2015,Albany
5/24/2015,1.93,1628.65,24.09,183.55,0,1421.01,1421.01,0,0,organic,2015,Albany
5/31/2015,1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,conventional,2015,Albany
5/31/2015,1.9,1752.14,82.3,105.49,0,1564.35,1564.35,0,0,organic,2015,Albany
6/7/2015,1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,460.22,0,conventional,2015,Albany
6/7/2015,1.93,1547.03,25.6,125.66,0,1395.77,1395.77,0,0,organic,2015,Albany
6/14/2015,1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,conventional,2015,Albany
6/14/2015,2.03,1542.45,79.45,211.46,0,1251.54,1251.54,0,0,organic,2015,Albany
6/21/2015,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662,213.65,0,conventional,2015,Albany
6/21/2015,2.09,1053.73,17.59,107.87,0,928.27,928.27,0,0,organic,2015,Albany
6/28/2015,1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,conventional,2015,Albany
6/28/2015,2.02,1200.61,22.35,124.7,0,1053.56,1053.56,0,0,organic,2015,Albany
7/5/2015,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,conventional,2015,Albany
7/5/2015,2.04,1573.19,50.69,183.9,0,1338.6,1338.6,0,0,organic,2015,Albany
7/12/2015,1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany
7/12/2015,2.01,1175.34,34.27,92.17,0,1048.9,1048.9,0,0,organic,2015,Albany
7/19/2015,1.26,96617,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,conventional,2015,Albany
7/19/2015,2.08,1076.23,50.86,112.36,0,913.01,913.01,0,0,organic,2015,Albany
7/26/2015,1.11,106757.1,648.75,91949.05,966.61,13192.69,13061.53,131.16,0,conventional,2015,Albany
7/26/2015,2.01,1449.04,99.16,165.27,0,1184.61,1184.61,0,0,organic,2015,Albany
8/2/2015,1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,conventional,2015,Albany
8/2/2015,2,1223.94,17.66,103.62,0,1102.66,1102.66,0,0,organic,2015,Albany
8/9/2015,1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0,conventional,2015,Albany
8/9/2015,1.88,1421.47,79.82,106.81,0,1234.84,1234.84,0,0,organic,2015,Albany
8/16/2015,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,conventional,2015,Albany
8/16/2015,2,1467.23,24.56,168.41,0,1274.26,1274.26,0,0,organic,2015,Albany
8/23/2015,1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,conventional,2015,Albany
8/23/2015,1.87,1275.64,24.45,97.82,0,1153.37,1153.37,0,0,organic,2015,Albany
8/30/2015,1.07,105693.84,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,conventional,2015,Albany
8/30/2015,1.88,1239.16,17.27,65.08,0,1156.81,1156.81,0,0,organic,2015,Albany
9/6/2015,1.11,99172.96,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,conventional,2015,Albany
9/6/2015,1.86,1168.86,30.13,96.18,0,1042.55,1042.55,0,0,organic,2015,Albany
9/13/2015,1.28,76111.27,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany
9/13/2015,1.99,902.5,13.86,105.13,0,783.51,783.51,0,0,organic,2015,Albany
9/20/2015,1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,conventional,2015,Albany
9/20/2015,1.98,774.2,42.63,228.13,0,503.44,503.44,0,0,organic,2015,Albany
9/27/2015,0.99,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany
9/27/2015,1.98,814.13,13.79,140.23,0,660.11,660.11,0,0,organic,2015,Albany
10/4/2015,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany
10/4/2015,1.98,1145.88,5.74,165.26,0,974.88,964.68,10.2,0,organic,2015,Albany
10/11/2015,1.28,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany
10/11/2015,1.9,1170.01,28.65,88.25,0,1053.11,1035.28,17.83,0,organic,2015,Albany
10/18/2015,1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany
10/18/2015,1.97,969.29,10.31,158.07,0,800.91,800.91,0,0,organic,2015,Albany
10/25/2015,1.07,74338.76,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany
10/25/2015,1.83,1161.9,49.27,148.96,0,963.67,963.67,0,0,organic,2015,Albany
11/1/2015,1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany
11/1/2015,1.88,1021.68,11.47,137.58,0,872.63,872.63,0,0,organic,2015,Albany
11/8/2015,0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany
11/8/2015,1.88,1332.27,20.08,351.4,0,960.79,960.79,0,0,organic,2015,Albany
11/15/2015,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany
11/15/2015,1.89,1208.54,20.71,238.16,0,949.67,949.67,0,0,organic,2015,Albany
11/22/2015,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
11/22/2015,1.94,858.83,13.84,84.18,0,760.81,755.69,5.12,0,organic,2015,Albany
11/29/2015,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany
11/29/2015,1.94,831.69,0,94.73,0,736.96,736.96,0,0,organic,2015,Albany
12/6/2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
12/6/2015,1.84,1158.42,90.29,104.18,0,963.95,948.52,15.43,0,organic,2015,Albany
12/13/2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
12/13/2015,1.85,995.96,10.44,178.7,0,806.82,806.82,0,0,organic,2015,Albany
12/20/2015,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
12/20/2015,1.89,1163.03,30.24,172.14,0,960.65,960.65,0,0,organic,2015,Albany
12/27/2015,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany
12/27/2015,1.83,989.55,8.16,88.59,0,892.8,892.8,0,0,organic,2015,Albany
1/3/2016,1.03,149038.15,939.71,139735.9,132.35,8230.19,8056.43,173.76,0,conventional,2016,Albany
1/3/2016,1.75,1145.5,7,187.9,0,950.6,950.6,0,0,organic,2016,Albany
1/10/2016,1.28,79121.77,848.19,66696.97,109.08,11467.53,11293.65,173.88,0,conventional,2016,Albany
1/10/2016,1.83,1676.05,35.03,329.33,0,1311.69,1311.69,0,0,organic,2016,Albany
1/17/2016,1.26,119972.41,1202.52,100613.46,51.22,18105.21,17980.53,124.68,0,conventional,2016,Albany
1/17/2016,1.67,1496.73,66.63,430.17,0,999.93,992.14,7.79,0,organic,2016,Albany
1/24/2016,1.22,96089.13,545.37,70802.56,68.41,24672.79,23926.35,746.44,0,conventional,2016,Albany
1/24/2016,1.83,1506.87,23.39,294.7,0,1188.78,1180.98,7.8,0,organic,2016,Albany
1/31/2016,1.16,102038.32,1386.24,79881.67,69.46,20700.95,19788.78,912.17,0,conventional,2016,Albany
1/31/2016,1.79,1305.94,34.38,186.13,0,1085.43,1085.43,0,0,organic,2016,Albany
2/7/2016,1.07,169614.01,2031.67,157271.87,109.88,10200.59,9349.67,850.92,0,conventional,2016,Albany
2/7/2016,1.81,1252.86,33.15,254.56,0,965.15,962.52,2.63,0,organic,2016,Albany
2/14/2016,1.13,98008.16,1640.86,77133.01,12,19222.29,17663.46,1558.83,0,conventional,2016,Albany
2/14/2016,1.81,1247.8,50.84,263.65,0,933.31,933.31,0,0,organic,2016,Albany
2/21/2016,1.28,99817.47,869.16,84484.99,24.98,14438.34,12280.58,2157.76,0,conventional,2016,Albany
2/21/2016,1.79,1282.87,23.61,213.64,0,1045.62,1045.62,0,0,organic,2016,Albany
2/28/2016,1.26,87822.43,805.41,72159.95,63.13,14793.94,13739.89,1054.05,0,conventional,2016,Albany
2/28/2016,1.79,1485.73,9.43,143.74,0,1332.56,1327.32,5.24,0,organic,2016,Albany
3/6/2016,1.27,90633.66,972.34,74693.31,56.26,14911.75,14476.23,435.52,0,conventional,2016,Albany
3/6/2016,1.92,1704.24,65.94,401.53,0,1236.77,1236.77,0,0,organic,2016,Albany
3/13/2016,1.18,108264.9,847.64,96117.13,60.99,11239.14,10817.56,421.58,0,conventional,2016,Albany
3/13/2016,1.79,1822.67,25.87,303.42,0,1493.38,1493.38,0,0,organic,2016,Albany
3/20/2016,1.32,110401.88,764.97,97082.4,70.15,12484.36,12286.01,198.35,0,conventional,2016,Albany
3/20/2016,1.76,1733.01,14.09,258.37,0,1460.55,1460.55,0,0,organic,2016,Albany
3/27/2016,1.49,92529.27,808.5,78146.18,36.73,13537.86,13037.43,500.43,0,conventional,2016,Albany
3/27/2016,1.65,1705.39,14.07,98.52,0,1592.8,1592.8,0,0,organic,2016,Albany
4/3/2016,0.85,81694.23,676.27,70459.66,31.2,10527.1,10058.25,468.85,0,conventional,2016,Albany
4/3/2016,1.56,1903.46,36.34,193.4,0,1673.72,1673.72,0,0,organic,2016,Albany
4/10/2016,1.46,70253.3,972.15,56128.98,38,13114.17,12671.09,443.08,0,conventional,2016,Albany
4/10/2016,1.62,2161.66,7.04,161.85,0,1992.77,1992.77,0,0,organic,2016,Albany
4/17/2016,1.22,86433.63,898.63,70042.6,25,15467.4,14642.65,712.25,112.5,conventional,2016,Albany
4/17/2016,1.82,2058.73,0,374.18,0,1684.55,1684.55,0,0,organic,2016,Albany
4/24/2016,1.18,102490.2,954.6,87571.23,43.15,13921.22,13463.97,337.81,119.44,conventional,2016,Albany
4/24/2016,1.77,2328.82,19.94,430.39,0,1878.49,1878.49,0,0,organic,2016,Albany
5/1/2016,1.03,173781.78,884.01,163570.47,37.84,9289.46,8918.99,321.86,48.61,conventional,2016,Albany
5/1/2016,1.78,1604,5.86,240.42,0,1357.72,1357.72,0,0,organic,2016,Albany
5/8/2016,1.27,120194.49,1041.95,96137.78,84.8,22929.96,22697.54,232.42,0,conventional,2016,Albany
5/8/2016,1.83,2103.64,0,536.2,0,1567.44,1567.44,0,0,organic,2016,Albany
5/15/2016,1.36,96924.19,901.65,75847.91,82.97,20091.66,19802.87,288.79,0,conventional,2016,Albany
5/15/2016,1.59,1259.86,17.4,367.82,0,874.64,874.64,0,0,organic,2016,Albany
5/22/2016,1.34,98863.64,929.07,74678.36,59.07,23197.14,22571.49,20.65,605,conventional,2016,Albany
5/22/2016,1.55,1193.06,26.72,346.19,0,820.15,820.15,0,0,organic,2016,Albany
5/29/2016,1.49,127812.25,2580.77,104876.94,103.64,20250.9,19519.92,180.98,550,conventional,2016,Albany
5/29/2016,1.49,1117.44,5.82,218.73,0,892.89,892.89,0,0,organic,2016,Albany
6/5/2016,1.47,115857.12,4288.46,92055.75,53.98,19458.93,17385.6,398.33,1675,conventional,2016,Albany
6/5/2016,1.47,1007.03,2.33,203.69,0,801.01,801.01,0,0,organic,2016,Albany
6/12/2016,1.38,111394.5,7531.24,83771.34,81.25,20010.67,18368.49,282.18,1360,conventional,2016,Albany
6/12/2016,1.43,887.29,4.66,150.28,0,732.35,732.35,0,0,organic,2016,Albany
6/19/2016,1.42,112817.51,6766.63,85374.27,30.07,20646.54,18526.59,389.95,1730,conventional,2016,Albany
6/19/2016,1.45,974.27,10.6,149.57,0,814.1,814.1,0,0,organic,2016,Albany
6/26/2016,1.5,133086.66,7923.01,106656.84,37.42,18469.39,16479.75,419.64,1570,conventional,2016,Albany
6/26/2016,1.53,1922.75,0,162.87,0,1759.88,1759.88,0,0,organic,2016,Albany
7/3/2016,1.42,115907.61,8373.77,82122.04,146.83,25264.97,21872.64,492.33,2900,conventional,2016,Albany
7/3/2016,1.43,3529.44,11.65,261.39,0,3256.4,3256.4,0,0,organic,2016,Albany
7/10/2016,1.11,131630.13,20970.24,96581.82,46.49,14031.58,10876,470.58,2685,conventional,2016,Albany
7/10/2016,1.58,2173.2,31.76,113.57,0,2027.87,2027.87,0,0,organic,2016,Albany
7/17/2016,1.31,89228.02,9273.69,64260.69,80.07,15613.57,13439.76,688.81,1485,conventional,2016,Albany
7/17/2016,1.57,2399.74,16.56,201.12,0,2182.06,2182.06,0,0,organic,2016,Albany
7/24/2016,1.46,98321.14,11580.64,65195.63,13.73,21531.14,18639.29,241.85,2650,conventional,2016,Albany
7/24/2016,1.42,1811.44,23.66,175.08,0,1612.7,1612.7,0,0,organic,2016,Albany
7/31/2016,1.61,125586.57,9293.65,96915.41,25.46,19352.05,18803.23,78.82,470,conventional,2016,Albany
7/31/2016,1.43,1553.42,29.56,204.54,0,1319.32,1319.32,0,0,organic,2016,Albany
8/7/2016,1.48,99683.11,14670.87,69054.28,10.9,15947.06,14597.2,178.19,1171.67,conventional,2016,Albany
8/7/2016,1.67,1545.79,54.24,206.36,0,1285.19,1285.19,0,0,organic,2016,Albany
8/14/2016,1.2,110528.09,24000.62,72970.23,26.76,13530.48,12434.82,350.1,745.56,conventional,2016,Albany
8/14/2016,1.72,1609.03,29.39,252.78,0,1326.86,1326.86,0,0,organic,2016,Albany
8/21/2016,1.43,94882.79,14520.36,63416.88,28.03,16917.52,15811,286.52,820,conventional,2016,Albany
8/21/2016,1.67,1926.01,19.93,233.25,0,1672.83,1672.83,0,0,organic,2016,Albany
8/28/2016,1.18,145323.22,34912.97,94928.79,53.85,15427.61,14367.64,269.97,790,conventional,2016,Albany
8/28/2016,1.66,1922.46,17.35,200.92,0,1704.19,1704.19,0,0,organic,2016,Albany
9/4/2016,1.44,95456.26,14741.13,64966.75,88.11,15660.27,15340.19,220.08,100,conventional,2016,Albany
9/4/2016,1.73,2194.77,52.26,181.76,0,1960.75,1960.75,0,0,organic,2016,Albany
9/11/2016,1.37,81473.15,6258.88,63511.85,42.26,11660.16,10839.17,815.99,5,conventional,2016,Albany
9/11/2016,1.68,3501.41,128.94,227.69,0,3144.78,3144.78,0,0,organic,2016,Albany
9/18/2016,1.39,79513.63,6624.37,63384.56,37.48,9467.22,8958.14,509.08,0,conventional,2016,Albany
9/18/2016,1.69,2137.53,47.35,194.65,0,1895.53,1895.53,0,0,organic,2016,Albany
9/25/2016,1.62,96853.15,7658.55,79425.81,43.25,9725.54,9586.8,138.74,0,conventional,2016,Albany
9/25/2016,1.68,2019.71,33.22,190.77,0,1795.72,1795.72,0,0,organic,2016,Albany
10/2/2016,1.51,75480.26,4109.22,57515.76,84.08,13771.2,13345.52,425.68,0,conventional,2016,Albany
10/2/2016,1.73,2492.82,51.93,139.63,0,2301.26,2301.26,0,0,organic,2016,Albany
10/9/2016,1.13,101087.84,3641.46,87174.41,102.15,10169.82,9744.41,425.41,0,conventional,2016,Albany
10/9/2016,1.75,2179.44,77.27,155.69,0,1946.48,1946.48,0,0,organic,2016,Albany
10/16/2016,1.4,69060.9,4027.42,54186.55,53.77,10793.16,10434.39,358.77,0,conventional,2016,Albany
10/16/2016,1.75,1939.89,71.5,111.86,0,1756.53,1756.53,0,0,organic,2016,Albany
10/23/2016,1.19,92080.35,4222.93,77537.36,46,10274.06,10160.26,113.8,0,conventional,2016,Albany
10/23/2016,1.86,1913.99,37.83,80.72,0,1795.44,1795.44,0,0,organic,2016,Albany
10/30/2016,1.46,58375.1,3187.14,45898.52,54.31,9235.13,9153.12,82.01,0,conventional,2016,Albany
10/30/2016,1.96,1326.8,57.66,93.41,0,1175.73,1175.73,0,0,organic,2016,Albany
11/6/2016,1.63,57178.2,3212.04,43024.32,36.4,10905.44,10474.09,431.35,0,conventional,2016,Albany
11/6/2016,1.93,2674,60.08,194.11,0,2419.81,2419.81,0,0,organic,2016,Albany
11/13/2016,1.62,63608.01,3523.63,49837.68,34,10212.7,9790.67,422.03,0,conventional,2016,Albany
11/13/2016,2,2084.37,75.8,191.07,0,1817.5,1817.5,0,0,organic,2016,Albany
11/20/2016,1.56,70089.51,3675.63,56898.54,11,9504.34,9238.4,209,56.94,conventional,2016,Albany
11/20/2016,1.93,1862.7,122.63,197.39,0,1542.68,1542.68,0,0,organic,2016,Albany
11/27/2016,1.52,58171.89,2793.99,47106.18,18.14,8253.58,7973.98,279.6,0,conventional,2016,Albany
11/27/2016,1.97,1646.78,50.76,177.08,0,1418.94,1418.94,0,0,organic,2016,Albany
12/4/2016,1.48,113031.96,6530.78,99746.05,50.84,6704.29,6476.12,228.17,0,conventional,2016,Albany
12/4/2016,1.97,1364.73,100.01,99.17,0,1165.55,1165.55,0,0,organic,2016,Albany
12/11/2016,1.49,71777.85,2323.39,56545.79,86.65,12822.02,12176.75,645.27,0,conventional,2016,Albany
12/11/2016,1.9,1886.63,42.26,156.72,0,1687.65,1687.65,0,0,organic,2016,Albany
12/18/2016,1.53,68938.53,3345.36,55949.79,138.72,9504.66,8876.65,587.73,40.28,conventional,2016,Albany
12/18/2016,1.86,1472.84,111.34,198.07,0,1163.43,1163.43,0,0,organic,2016,Albany
12/25/2016,1.52,73341.73,3202.39,58280.33,426.92,11432.09,11017.32,411.83,2.94,conventional,2016,Albany
12/25/2016,1.93,1714.92,77.5,250.13,0,1387.29,1387.29,0,0,organic,2016,Albany
1/1/2017,1.47,129948.23,4845.77,117027.41,200.36,7874.69,7866.86,7.83,0,conventional,2017,Albany
1/1/2017,1.87,1376.7,71.65,192.63,0,1112.42,1112.42,0,0,organic,2017,Albany
1/8/2017,1.55,91728.18,3355.47,75641.23,56.91,12674.57,12606.67,67.9,0,conventional,2017,Albany
1/8/2017,1.94,2229.52,63.46,478.31,0,1687.75,1687.75,0,0,organic,2017,Albany
1/15/2017,1.55,88526.26,3327.65,71956.77,607.03,12634.81,12574.72,60.09,0,conventional,2017,Albany
1/15/2017,1.84,1982.65,82.3,328.02,0,1572.33,1572.33,0,0,organic,2017,Albany
1/22/2017,1.59,128679.24,4119.94,111173.08,2191.71,11194.51,11060.19,125.5,8.82,conventional,2017,Albany
1/22/2017,1.82,1897.07,78.83,128.24,0,1690,1690,0,0,organic,2017,Albany
1/29/2017,1.31,95424.59,3844.62,78315.15,484.56,12780.26,12393.84,382.06,4.36,conventional,2017,Albany
1/29/2017,1.86,1795.81,32.53,123.14,0,1640.14,1640.14,0,0,organic,2017,Albany
2/5/2017,1.49,183549.08,5666.6,165530.03,2119.02,10233.43,10047.32,186.11,0,conventional,2017,Albany
2/5/2017,1.72,1753.35,26.75,223.33,0,1503.27,1503.27,0,0,organic,2017,Albany
2/12/2017,1.42,97215.94,3808.43,81070.44,175.6,12161.47,11650.91,510.56,0,conventional,2017,Albany
2/12/2017,1.78,1806.4,119.52,170.57,0,1516.31,1516.31,0,0,organic,2017,Albany
2/19/2017,1.67,95475.07,2702.57,81691.54,125.48,10955.48,10784.07,171.41,0,conventional,2017,Albany
2/19/2017,1.67,2523.56,1049.5,141.41,0,1332.65,1332.65,0,0,organic,2017,Albany
2/26/2017,1.4,88371.09,3190.28,73959.76,71.2,11149.85,10910.4,239.45,0,conventional,2017,Albany
2/26/2017,1.71,2185.96,508.31,240.1,0,1437.55,1437.55,0,0,organic,2017,Albany
3/5/2017,1.18,107354.25,3123.26,90784.49,57.86,13388.64,13277.29,111.35,0,conventional,2017,Albany
3/5/2017,1.84,2228.14,241,208.79,0,1778.35,1778.35,0,0,organic,2017,Albany
3/12/2017,1.54,95713.29,2046.8,67162.63,89.32,26414.54,10990.08,15424.46,0,conventional,2017,Albany
3/12/2017,1.97,2001.95,123.51,206.64,0,1671.8,1671.8,0,0,organic,2017,Albany
3/19/2017,1.6,92774.61,2332.96,72033.15,140.57,18267.93,8302.27,9965.66,0,conventional,2017,Albany
3/19/2017,1.87,2763.38,503.14,175.98,0,2084.26,2084.26,0,0,organic,2017,Albany
3/26/2017,1.16,122951.65,3184.29,100854.22,70.17,18842.97,7252.7,11590.27,0,conventional,2017,Albany
3/26/2017,2.02,2250.22,166.49,263.32,0,1820.41,1820.41,0,0,organic,2017,Albany
4/2/2017,1.62,92621.11,4530.8,68015.37,97.26,19977.68,6332.44,13645.24,0,conventional,2017,Albany
4/2/2017,1.86,3492.87,885.46,362.37,0,2245.04,2245.04,0,0,organic,2017,Albany
4/9/2017,1.54,105436.11,3708.13,87775.86,44.28,13907.84,7121.61,6786.23,0,conventional,2017,Albany
4/9/2017,1.92,2209.82,159.65,189.67,0,1860.5,1860.5,0,0,organic,2017,Albany
4/16/2017,1.62,90487.05,4362.98,71957.73,161.28,14005.06,7179.98,6825.08,0,conventional,2017,Albany
4/16/2017,1.85,2886.48,265.82,203.84,0,2416.82,2416.82,0,0,organic,2017,Albany
4/23/2017,1.34,89327.1,4437.5,61512.84,84.45,23292.31,8236.01,15056.3,0,conventional,2017,Albany
4/23/2017,1.92,2087.6,110.25,182.56,0,1794.79,1794.79,0,0,organic,2017,Albany
4/30/2017,1.13,124926.39,2573.11,99451.52,81.89,22819.87,10547.36,12272.51,0,conventional,2017,Albany
4/30/2017,1.74,3046.63,388.81,280.28,0,2377.54,2377.54,0,0,organic,2017,Albany
5/7/2017,1.47,127193.26,2473.53,87791.87,121.07,36806.79,9600.81,27205.98,0,conventional,2017,Albany
5/7/2017,1.79,2897.23,89.53,315.14,0,2492.56,2492.56,0,0,organic,2017,Albany
5/14/2017,1.77,96750.67,2804.86,80469.48,196.39,13279.94,5727.85,7552.09,0,conventional,2017,Albany
5/14/2017,1.57,4270.28,44.12,450.74,0,3775.42,3775.42,0,0,organic,2017,Albany
5/21/2017,1.38,100256.85,2307.02,86817.51,334.01,10798.31,5338.56,5203.08,256.67,conventional,2017,Albany
5/21/2017,1.84,3184.37,20.33,385.05,0,2778.99,2778.99,0,0,organic,2017,Albany
5/28/2017,1.8,121869.11,2345.65,106690.16,105.74,12727.56,6141.75,6029.14,556.67,conventional,2017,Albany
5/28/2017,1.87,3365.45,11.93,344.88,0,3008.64,3008.64,0,0,organic,2017,Albany
6/4/2017,1.7,84842.97,1923.04,72573.09,100.07,10246.77,2834.14,6342.63,1070,conventional,2017,Albany
6/4/2017,1.63,3771.39,54.47,352.85,0,3364.07,3364.07,0,0,organic,2017,Albany
6/11/2017,1.65,91949.26,1989.84,76736.87,364.68,12857.87,2704.43,8235.11,1918.33,conventional,2017,Albany
6/11/2017,2.04,2719.24,21.33,248.87,0,2449.04,2449.04,0,0,organic,2017,Albany
6/18/2017,1.58,97079.34,2454.01,82154.43,723.07,11747.83,3875.12,6697.71,1175,conventional,2017,Albany
6/18/2017,2.03,3185.1,366.52,266.88,0,2551.7,2551.7,0,0,organic,2017,Albany
6/25/2017,1.53,89303.04,2224.67,74282.58,129.85,12665.94,4686.34,6874.6,1105,conventional,2017,Albany
6/25/2017,2.13,2898.81,142.46,295.6,0,2460.75,2460.75,0,0,organic,2017,Albany
7/2/2017,1.56,98282.07,2808.47,79968.24,741.19,14764.17,6549.32,6584.85,1630,conventional,2017,Albany
